,,,,,,,,,,,,,,,,,
,name,builder,value,owner,flag,year_delivered,refit,length,beam,gross_tonnage,cruising_speed,top_speed,naval_architect,exterior_designer,interior_designer,rank,profile_picture
,Azzam,Lürssen Yachts (Germany),600 000 000 $,Mohammed bin Zayed Al Nahyan,United Arab Emirates,2013,,180.61m,20.8m,"13,136",12 kn,33 kn,Lürssen Yachts (Germany),Nauta Yachts S.R.L (Italy),Christophe Leoni (France),1,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k1aa9e49e/vessel/resource/124097/charter-azzam-yacht.jpg
,Fulk Al Salamah,Mariotti Yachts (Italy),500 000 000 $,Sultan Haitam bin Tariq of Oman ,Oman,2016,,164m,28m,"11,000",15 kn,22 kn,Mariotti Yachts (Italy),Mariotti Yachts (Italy),Mariotti Yachts (Italy),2,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/kd474b1d5/vessel/resource/384707/charter-fulk-al-salamah-yacht.jpg
,Eclipse ,Blohm & Voss (Germany),700 000 000 $,Roman Abramovich (Russian),Bermuda,2010,2015,162.5m,22m,"13,500",20 kn,21 kn,Blohm & Voss (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),3,https://cdn.boatinternational.com/files/2021/05/cb78e590-b322-11eb-b59b-bfd1177c77f4-eclipse-exterior-do-not-use-outside-feature.jpg
,Dubai,Platinum (United Arab Emirates),500 000 000 $,Sheikh Mohammed,United Arab Emirates,2006,,162m,22m,"12,488",22 kn ,26 kn,Lürssen Yachts (Germany) & Blohm & Voss (Germany),Winch Design (United Kingdom),Winch Design (United Kingdom) & Nakheel Interiors (United Arab Emirates),4,"https://i6.superyachts.com/yacht-resource/4800?w=1400&h=912&t=62&r=1400&b=789&l=0&o=w%7B2%7Dcc%7B0,62,1400,789%7D "
,Blue,Lürssen Yachts (Germany),600 000 000 $,Sheikh Mansour bin Zayed al Nahyan,Cayman Islands,2022,,160.6m,22.5m,"14,785",18 kn ,20 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),5,https://cdn.boatinternational.com/files/2022/07/4ada3cf0-fb73-11ec-a7d3-312ba35b37a1-project-blue-delivered.jpg 
,Dilbar,Lürssen Yachts (Germany),800 000 000 $ ,Alisher Umanov (Russian),Cayman Islands,2016,,156m,23.5m,"15,917",18 kn ,22.5 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),Winch Design (United Kingdom)  ,6,https://photos.superyachtapi.com/download/121447/large
,Al Said,Lürssen Yachts (Germany),600 000 000 $,Royal Family of Qatar,Oman,2008,,155m,24m,"15,850",,22 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),RWD (United Kingdom),7,"https://i6.superyachts.com/yacht-resource/10244?w=1200&h=797&t=61&r=1200&b=676&l=0&o=w%7B2%7Dcc%7B0,61,1200,676%7D "
,El Mahrousa,Samuda (United Kingdom),,Egyptian Government,Egypt,1865,,150.57m,13m,"4,560",13 kn ,16 kn,Sir Oliver Lang (England),Sir Oliver Lang (United Kingdom),,8,https://www.charterworld.com/images/yachts-1/Mahroussa%202.jpg 
,A +,Lürssen Yachts (Germany),450 000 000 $,Crown Prince Mohammed bin Salman of Saudi Arabia,Cayman Islands,2012,,147.25m,21.5m,"12,532",19.5 kn,22.9 kn,Lürssen Yachts (Germany),Tim Heywood Design (United Kingdom),Terence Disdale (United Kingdom),9,https://photos.superyachtapi.com/download/285779/large 
,Prince Abdulaziz,Helsingor Vaerft (Denmark),100 000 000 $,Prince Abdul Aziz bin Saud (member of the Saudi royal family),Marshall Islands,1984,2007,147.01m,18.3m,"8,233",18 kn ,22 kn,Maierform Maritime Technology (Germany),Maierform Maritime Technology (Germany),David Hicks (United Kingdom),10,https://cdn.boatinternational.com/images/20160317/1-105175l-2560x1440.jpg 
,Opera,Lürssen Yachts (Germany),450 000 000 $,Sheikh Abdullah bin Zayed Al Nahyan (member of the United Arab Emirates' founding family),Cayman Islands,2023,,146.35m,20m,"12,518",18 kn ,22 kn,Lürssen Yachts (Germany),Terence Disdale (United Kingdom),Terence Disdale (United Kingdom),11,https://cdn.boatinternational.com/files/2022/09/f1a82bc0-38c0-11ed-bfd2-9b397c39c72d-opera-yacht-undrway.jpg 
,Ok,Oshima Shipbuilding (Japan),,,Liberia,1982,Karmarine (Turkey) in 2022,146m,32.01m,"11,296",11.6 kn,13 kn,Oshima Shipbuilding  (Japan),Bozca Design (Turkey),,12,https://s1.cdn.autoevolution.com/images/news/gallery/the-highly-unorthodox-and-semi-submersible-ok-superyacht-is-recycling-done-right_5.jpg 
,Sailing Yacht A,Nobiskrug (Germany),600 000 000 $,Andrey Melnichenko (Russian),Sierra Leone,2017,,142.81m,24.88m,"12,700",14 kn ,21 kn,Nobiskrug (Germany) & Dykstra Naval Architects (The Netherlands),Philippe Starck (France),Philippe Starck (France),13,https://photos.superyachtapi.com/download/8511/large 
,Dragonfly,Lürssen Yachts (Germany),450 000 000 $,Sergey Brin (Russian),Cayman Islands,2024,,142.08m,20m,"9,408",,24 kn,Lürssen Yachts (Germany),German Frers (Argentina),Nauta design (Italy),14,https://image.yachtcharterfleet.com/w1277/h618/qh/ca/m2/k7d7a2ca2/vessel/resource/2790658/charter-dragonfly-yacht.jpg 
,Scheherazade,Lürssen Yachts (Germany),700 000 000 $,Eduard Khudainatov (Russian),Malaysia,2020,,141.96m,23.3m,"10,167",16 kn,18 kn,Lürssen Yachts (Germany),Espen Oeino International (Monaco),François Zuretti (France),15,https://photos.superyachtapi.com/download/120948/large 
,Nord,Lürssen Yachts (Germany),500 000 000 $,Alexei Mordashov (Russian),Russian Federation,2021,,141.6m,19.5m,"10,154",15 kn,20 kn,Lürssen Yachts (Germany),Nuvolari Lenard (Italy),Nuvolari Lenard (Italy),16,https://cdn.boatinternational.com/files/2022/02/f6a42db0-909e-11ec-8243-9767fcd90f80-nord-credit-lester-prea-1.jpg 
,Yas,De Schelde (The Netherlands),180 000 000 $,Sheikh Hamdan bin Zayed al Nahyan (member of the Abu Dhabi royal family),Cayman Islands,2012,2020,141m,14.6m,"5,002",22 kn ,26 kn,Pierrejean Design Studio (France) & De Schelde (The Netherlands),Pierrejean Design Studio (France),Pierrejean Design Studio (France),17,https://cdn.boatinternational.com/convert/files/2021/10/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg/r%5Bwidth%5D=1920/b4324120-359e-11ec-8740-f3a33522d767-Yas-yacht-Peter-Seyfferth009.jpg 
,Ocean Victory,Fincantieri (Italy),300 000 000 $,Viktor Rashnikov (Russian),Cayman Islands,2014,,140m,20m,"8,506",18 kn ,25 kn,Espen Oeino International (Monaco),Espen Oeino International (Monaco),Alberto Pinto (France),18,https://www.filepicker.io/api/file/oTRnUxGMQTmYQLgYXkcs 
,Solaris,Lloyd Werft (Germany),600 000 000 $,Roman Abramovich (Russian),Bermuda,2021,,139.7m,22m,"11,247",15 kn,18 kn,Marc Newson (Australia),Marc Newson (Australia),Marc Newson (Australia),19,https://cdn.boatinternational.com/convert/files/2021/10/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg/r%5Bwidth%5D=1920/0b435910-3705-11ec-b058-15f381fc9477-Solaris-spotted.jpg 
